,Date,State,County,Arithmetic_Mean_ppb,AQI_Ozone,Arithmetic_Mean_Cleaned,AQI_No2,Arithmetic_Mean,AQI,Daily_Cases,Daily_Deaths
4,2020-05-01,Alabama,Jefferson,30.33333333,47.66666667,15.311553,32.0,11.0125,46.0,43.0,2.0
9,2020-05-01,Alabama,Russell,31.0,49.0,,,6.1125,25.0,3.0,0.0
14,2020-05-01,Alaska,Fairbanks North Star Borough,29.0,34.0,,,4.733333333,19.66666667,1.0,0.0
18,2020-05-01,Arizona,La Paz,46.0,51.0,,,3.8375,16.0,1.0,0.0
19,2020-05-01,Arizona,Maricopa,42.0,56.69565217,13.1441666,24.0,6.546759278,27.0,184.0,2.0
21,2020-05-01,Arizona,Pima,40.25,48.75,5.00625,9.5,4.58206525,19.0,26.0,1.0
22,2020-05-01,Arizona,Pinal,46.0,58.2,,,9.225,37.5,20.0,2.0
24,2020-05-01,Arizona,Yuma,46.0,77.0,,,9.0,38.0,4.0,0.0
29,2020-05-01,Arkansas,Pulaski,43.5,45.0,7.929167,20.0,9.5,40.0,9.0,1.0
31,2020-05-01,California,Alameda,31.2,37.6,6.252173833,13.66666667,5.701388832999999,23.66666667,33.0,0.0
33,2020-05-01,California,Butte,46.0,51.0,2.856522,6.0,5.5,23.0,0.0,0.0
34,2020-05-01,California,Calaveras,36.0,50.0,,,5.0,21.0,0.0,0.0
36,2020-05-01,California,Contra Costa,32.75,41.5,3.0448065,7.25,5.2789855,22.0,16.0,1.0
38,2020-05-01,California,Fresno,43.71428571,54.85714286,5.4369563329999995,11.0,4.2444445,17.66666667,51.0,1.0
41,2020-05-01,California,Inyo,37.25,37.5,,,4.23645825,17.5,0.0,0.0
42,2020-05-01,California,Kern,50.0,72.0,10.495652,26.0,2.9083335,12.0,31.0,1.0
43,2020-05-01,California,Kings,42.0,60.5,2.7260869999999997,5.0,5.7268115,23.5,27.0,0.0
45,2020-05-01,California,Los Angeles,39.69230769,59.61538462,7.6482488,13.93333333,9.58697925,40.5,1033.0,61.0
46,2020-05-01,California,Madera,46.0,71.0,,,4.8166665,20.0,0.0,0.0
47,2020-05-01,California,Marin,28.0,35.0,3.965217,14.0,4.3166665,18.0,3.0,0.0
49,2020-05-01,California,Merced,42.0,58.0,2.4761900000000003,4.0,5.719565,24.0,9.0,0.0
50,2020-05-01,California,Monterey,33.0,42.33333333,2.375,11.0,4.347222167,18.0,9.0,0.0
51,2020-05-01,California,Napa,34.0,42.0,2.7739130000000003,11.0,4.2458335,18.0,1.0,0.0
52,2020-05-01,California,Nevada,49.0,51.0,,,6.8375,28.0,0.0,0.0
53,2020-05-01,California,Orange,39.0,49.33333333,6.406944332999999,10.33333333,9.0,38.0,170.0,5.0
54,2020-05-01,California,Placer,42.4,54.2,3.120833,5.0,5.5108695,23.0,3.0,0.0
55,2020-05-01,California,Riverside,48.54545455,77.63636364,4.078447143,7.571428571,9.466191125,41.8,48.0,7.0
56,2020-05-01,California,Sacramento,36.8,48.4,3.5936595000000002,9.0,4.5,19.0,13.0,0.0
57,2020-05-01,California,San Benito,37.0,53.5,,,6.2041665,26.0,0.0,0.0
58,2020-05-01,California,San Bernardino,55.45454545,94.27272727,11.9938405,17.5,9.739285714,40.25,55.0,3.0
59,2020-05-01,California,San Diego,39.33333333,53.11111111,5.174512875,10.125,20.664673999999998,69.0,147.0,3.0
60,2020-05-01,California,San Francisco,31.0,35.0,4.204348,8.0,5.7458335,24.0,24.0,3.0
61,2020-05-01,California,San Joaquin,36.0,45.0,3.9956519999999998,15.5,4.125483,17.33333333,14.0,0.0
62,2020-05-01,California,San Luis Obispo,35.4,44.8,1.7291665,4.0,14.7710606,61.5,4.0,0.0
63,2020-05-01,California,San Mateo,31.0,38.0,3.765217,11.0,4.6333335,19.0,20.0,2.0
64,2020-05-01,California,Santa Barbara,39.11111111,43.11111111,0.553230375,1.875,8.0208335,33.66666667,10.0,0.0
65,2020-05-01,California,Santa Clara,33.66666667,44.0,7.512944999999999,21.5,5.020833333,21.0,16.0,2.0
66,2020-05-01,California,Santa Cruz,29.0,41.0,,,3.92916675,16.0,1.0,0.0
68,2020-05-01,California,Siskiyou,35.0,41.0,,,2.8130435,12.0,0.0,0.0
69,2020-05-01,California,Solano,33.0,42.0,1.713043,4.0,5.64375,23.5,3.0,0.0
70,2020-05-01,California,Sonoma,29.0,37.0,2.321739,7.0,3.345652,14.0,4.0,1.0
71,2020-05-01,California,Stanislaus,41.0,50.0,3.452174,4.0,4.2145835,17.5,6.0,0.0
72,2020-05-01,California,Sutter,40.0,48.5,2.9347830000000004,8.0,5.8166665,24.0,1.0,0.0
73,2020-05-01,California,Tehama,45.5,51.0,,,5.1125,21.0,0.0,0.0
76,2020-05-01,California,Ventura,35.2,47.4,4.5588235,8.0,7.8847221670000005,32.66666667,12.0,0.0
78,2020-05-01,Colorado,Adams,42.0,48.0,8.8,25.0,6.5208335,27.0,80.0,5.0
80,2020-05-01,Colorado,Boulder,53.0,71.0,,,4.63125,19.0,38.0,0.0
81,2020-05-01,Colorado,Delta,44.0,49.0,0.9511775,3.0,3.71675725,15.0,2.0,0.0
82,2020-05-01,Colorado,Denver,40.0,45.5,13.14751775,26.5,5.812121182,24.0,91.0,9.0
83,2020-05-01,Colorado,Douglas,48.0,54.0,,,4.6083335,19.0,24.0,1.0
84,2020-05-01,Colorado,El Paso,48.0,50.5,,,4.6020835,19.0,30.0,1.0
85,2020-05-01,Colorado,Garfield,49.0,61.0,1.8993084999999998,4.0,6.209782499999999,27.0,0.0,0.0
90,2020-05-01,Colorado,Larimer,44.75,52.0,,,2.7416665,11.0,14.0,0.0
91,2020-05-01,Colorado,Mesa,46.0,48.0,,,5.4416665,23.0,1.0,0.0
93,2020-05-01,Colorado,Rio Blanco,44.0,46.0,2.3666669999999996,12.0,8.908333500000001,37.0,0.0,0.0
94,2020-05-01,Colorado,Weld,42.0,51.0,,,3.5145835,15.0,26.0,5.0
95,2020-05-01,Connecticut,Fairfield,43.0,48.75,4.656522,9.0,3.91145825,16.5,318.0,29.0
96,2020-05-01,Connecticut,Hartford,39.0,47.0,6.8391305,15.0,3.1302084999999997,13.0,330.0,17.0
97,2020-05-01,Connecticut,Litchfield,43.0,51.0,,,1.4125,6.0,51.0,6.0
99,2020-05-01,Connecticut,New Haven,42.5,50.5,11.469565,41.0,4.088194333,16.66666667,364.0,21.0
100,2020-05-01,Connecticut,New London,48.0,64.0,,,5.43125,23.0,39.0,6.0
103,2020-05-01,Delaware,Kent,33.0,34.0,,,5.0354165,21.0,14.0,1.0
104,2020-05-01,Delaware,New Castle,33.75,35.5,6.3333330000000005,9.0,4.433333333,18.33333333,95.0,2.0
105,2020-05-01,Delaware,Sussex,32.0,32.5,,,5.54375,23.0,76.0,4.0
106,2020-05-01,Florida,Alachua,35.0,48.0,,,5.5729165,23.0,6.0,0.0
109,2020-05-01,Florida,Brevard,46.5,51.0,,,5.81875,24.0,4.0,0.0
110,2020-05-01,Florida,Broward,45.25,59.25,11.85,23.0,5.202604125,21.5,191.0,14.0
112,2020-05-01,Florida,Duval,34.66666667,47.66666667,15.210416500000001,30.0,5.8197915,24.0,13.0,2.0
116,2020-05-01,Florida,Hillsborough,45.0,47.5,13.733332999999998,21.0,3.95729175,16.5,39.0,1.0
120,2020-05-01,Florida,Lee,50.0,51.0,,,4.6270835,19.0,46.0,0.0
126,2020-05-01,Florida,Miami-Dade,48.0,90.0,5.859722333,13.33333333,5.5375,23.0,325.0,6.0
128,2020-05-01,Florida,Orange,43.5,50.0,5.108333,10.0,5.1166665,21.0,28.0,0.0
130,2020-05-01,Florida,Palm Beach,41.0,49.5,,,5.0145835,21.0,78.0,5.0
132,2020-05-01,Florida,Pinellas,38.33333333,45.0,4.3770835,9.5,5.325,22.0,19.0,1.0
133,2020-05-01,Florida,Polk,38.0,46.5,,,6.7354164999999995,28.0,17.0,1.0
135,2020-05-01,Florida,Sarasota,42.66666667,47.33333333,,,4.53125,19.0,13.0,2.0
136,2020-05-01,Florida,Seminole,42.0,50.0,,,5.3395835,22.0,6.0,0.0
138,2020-05-01,Florida,Volusia,37.0,49.0,,,6.2041665,26.0,48.0,0.0
140,2020-05-01,Georgia,Bibb,30.0,47.0,,,4.90625,20.0,6.0,0.0
141,2020-05-01,Georgia,Chatham,35.0,45.0,,,5.3395835,22.0,4.0,0.0
143,2020-05-01,Georgia,Clarke,43.0,47.0,,,5.628125,23.0,5.0,0.0
147,2020-05-01,Georgia,DeKalb,27.0,44.0,13.491666500000001,28.5,5.773611,23.5,46.0,2.0
151,2020-05-01,Georgia,Gwinnett,32.0,48.0,,,6.5479165,27.0,55.0,1.0
156,2020-05-01,Georgia,Richmond,37.0,44.0,,,6.14375,25.0,6.0,0.0
159,2020-05-01,Hawaii,Honolulu,20.0,20.5,1.9916669999999999,5.0,4.82239575,20.0,1.0,0.0
165,2020-05-01,Illinois,Champaign,39.5,42.5,,,5.0104165,21.0,13.0,0.0
167,2020-05-01,Illinois,Cook,33.6,37.3,25.8304546,39.4,7.088690429,28.25,2155.0,66.0
169,2020-05-01,Illinois,Hamilton,49.0,54.0,,,6.941666499999999,29.0,0.0,0.0
170,2020-05-01,Illinois,Jersey,46.0,54.0,,,5.0458335,21.0,0.0,0.0
174,2020-05-01,Illinois,Macon,46.0,47.0,,,5.7125,24.0,3.0,0.0
178,2020-05-01,Illinois,McLean,46.0,48.0,,,4.9458335,20.0,2.0,0.0
179,2020-05-01,Illinois,Peoria,45.0,47.0,,,3.0333335,13.0,7.0,0.0
180,2020-05-01,Illinois,Randolph,48.0,48.0,,,4.9208335,20.0,8.0,0.0
181,2020-05-01,Illinois,Rock Island,45.0,49.0,,,8.2041665,34.0,12.0,0.0
183,2020-05-01,Illinois,Sangamon,52.0,54.0,,,5.2458335,22.0,17.0,3.0
184,2020-05-01,Illinois,Will,43.0,44.0,,,5.3260415,22.0,125.0,7.0
185,2020-05-01,Illinois,Winnebago,42.0,44.0,,,7.2354164999999995,30.0,43.0,0.0
186,2020-05-01,Indiana,Allen,37.5,44.0,,,5.0166665,21.0,28.0,1.0
187,2020-05-01,Indiana,Bartholomew,45.0,50.0,,,1.8354165,8.0,11.0,0.0
191,2020-05-01,Indiana,Clark,39.0,44.0,,,5.4166665,23.0,24.0,3.0
193,2020-05-01,Indiana,Elkhart,39.0,41.0,,,5.2291665,22.0,9.0,2.0
196,2020-05-01,Indiana,Hamilton,42.0,44.0,,,6.007143,25.0,40.0,6.0
198,2020-05-01,Indiana,Howard,41.0,44.0,,,3.6125,15.0,4.0,2.0
201,2020-05-01,Indiana,Lake,34.0,35.0,13.5875,35.0,7.619073429,31.66666667,86.0,11.0
202,2020-05-01,Indiana,Madison,43.0,44.0,,,3.947826,16.0,9.0,2.0
203,2020-05-01,Indiana,Marion,41.75,45.0,6.659058,22.0,8.890972167000001,37.0,225.0,11.0
205,2020-05-01,Indiana,Porter,38.0,39.5,,,8.8333335,37.0,2.0,0.0
208,2020-05-01,Indiana,St. Joseph,39.0,41.66666667,3.920833,17.0,6.3354165,26.0,8.0,2.0
209,2020-05-01,Indiana,Vanderburgh,46.0,49.0,5.7875,10.0,5.2041665,22.0,8.0,0.0
210,2020-05-01,Indiana,Vigo,42.5,43.5,,,8.021875,33.5,0.0,0.0
216,2020-05-01,Iowa,Linn,39.25,43.75,,,12.7256062,52.0,4.0,2.0
219,2020-05-01,Iowa,Polk,41.0,46.25,6.390909,15.0,7.74112325,35.0,191.0,2.0
220,2020-05-01,Iowa,Scott,39.0,44.75,,,8.50625,33.5,4.0,1.0
222,2020-05-01,Kansas,Johnson,47.0,51.0,,,7.2041664999999995,30.0,7.0,0.0
224,2020-05-01,Kansas,Neosho,49.0,54.0,2.4291669999999996,5.0,7.6229165,32.0,0.0,0.0
226,2020-05-01,Kansas,Shawnee,45.0,58.0,,,8.814583500000001,37.0,4.0,0.0
227,2020-05-01,Kansas,Sumner,45.0,51.0,3.358333,10.0,8.5166665,35.0,0.0,0.0
228,2020-05-01,Kansas,Trego,42.0,47.0,0.916667,1.0,4.9458335,20.0,,
229,2020-05-01,Kansas,Wyandotte,47.0,58.0,7.6,15.0,11.1208335,46.0,43.0,0.0
232,2020-05-01,Kentucky,Boyd,19.0,29.0,2.391304,14.0,5.0020835,21.0,0.0,0.0
234,2020-05-01,Kentucky,Campbell,40.0,44.0,3.7391300000000003,8.0,3.3291665,14.0,3.0,0.0
237,2020-05-01,Kentucky,Daviess,46.0,48.0,5.782609,13.0,7.8458335,33.0,6.0,0.0
239,2020-05-01,Kentucky,Fayette,33.0,39.0,5.652174,30.0,4.3129075,18.0,6.0,0.0
242,2020-05-01,Kentucky,Hardin,40.0,47.0,,,5.2104165,22.0,4.0,0.0
245,2020-05-01,Kentucky,McCracken,44.0,51.0,5.26087,15.0,7.808333500000001,33.0,3.0,0.0
248,2020-05-01,Kentucky,Perry,25.0,35.0,,,3.9822010000000003,17.0,1.0,0.0
249,2020-05-01,Kentucky,Pike,21.0,31.0,,,4.1333335,17.0,2.0,0.0
253,2020-05-01,Kentucky,Warren,38.0,48.0,,,8.828125,37.0,12.0,0.0
257,2020-05-01,Louisiana,Caddo,48.0,51.0,,,9.2,38.0,39.0,6.0
259,2020-05-01,Louisiana,East Baton Rouge,43.0,70.66666667,6.6583335,14.5,8.443055667000001,34.5,115.0,9.0
273,2020-05-01,Maine,Androscoggin,25.0,37.0,,,2.4291665,10.0,4.0,0.0
274,2020-05-01,Maine,Aroostook,30.0,31.0,0.829167,1.0,1.93958325,8.0,0.0,0.0
