Date,State,County,Arithmetic_Mean_ppb,AQI_Ozone,Arithmetic_Mean_Cleaned,AQI_No2,Arithmetic_Mean,AQI,Daily_Cases,Daily_Deaths
2020-05-01,735,735,735,735,223,223,374,371,715,715
2020-05-02,733,733,733,733,224,224,373,371,713,713
2020-05-03,733,733,733,733,224,224,445,443,715,715
2020-05-04,734,734,734,734,223,223,376,367,715,715
2020-05-05,736,736,736,736,221,221,373,369,719,719
2020-05-06,739,739,739,739,223,223,444,439,722,722
2020-05-07,741,741,741,741,223,223,379,373,725,725
2020-05-08,740,740,740,740,225,225,377,374,725,725
2020-05-09,737,737,737,737,225,225,445,443,722,722
2020-05-10,736,736,736,736,225,225,374,373,721,721
2020-05-11,738,738,738,738,222,222,375,372,723,723
2020-05-12,734,734,734,734,222,222,434,428,719,719
2020-05-13,735,735,735,735,222,222,371,367,720,720
2020-05-14,733,733,733,733,223,223,370,367,718,718
2020-05-15,733,733,733,733,223,223,442,435,718,718
2020-05-16,731,731,731,731,223,223,368,368,716,716
2020-05-17,729,729,729,729,223,223,368,366,715,715
2020-05-18,732,732,732,732,224,224,433,423,719,719
2020-05-19,730,730,730,730,223,223,369,359,717,717
2020-05-20,736,736,736,736,223,223,366,362,723,723
2020-05-21,738,738,738,738,221,221,448,441,726,726
2020-05-22,738,738,738,738,221,221,373,358,727,727
2020-05-23,735,735,735,735,220,220,370,365,724,724
2020-05-24,730,730,730,730,221,221,434,434,720,720
2020-05-25,730,730,730,730,220,220,366,366,720,720
2020-05-26,736,736,736,736,219,219,371,361,726,726
2020-05-27,734,734,734,734,222,222,450,442,726,726
2020-05-28,738,738,738,738,222,222,366,359,730,730
2020-05-29,739,739,739,739,224,224,371,360,731,731
2020-05-30,735,735,735,735,224,224,441,439,728,728
2020-05-31,732,732,732,732,223,223,366,363,725,725
2020-06-01,735,735,735,735,222,222,368,361,728,728
2020-06-02,740,740,740,740,224,224,452,450,733,733
2020-06-03,738,738,738,738,225,225,372,362,731,731
2020-06-04,738,738,738,738,225,225,372,366,732,732
2020-06-05,740,740,740,740,224,224,442,437,734,734
2020-06-06,736,736,736,736,222,222,369,367,731,731
2020-06-07,737,737,737,737,222,222,368,365,731,731
2020-06-08,736,736,736,736,223,223,450,448,730,730
2020-06-09,728,728,728,728,223,223,369,359,722,722
2020-06-10,735,735,735,735,225,225,370,361,729,729
2020-06-11,735,735,735,735,225,225,441,433,729,729
2020-06-12,737,737,737,737,226,226,375,365,731,731
2020-06-13,733,733,733,733,226,226,373,369,727,727
2020-06-14,728,728,728,728,223,223,454,451,722,722
2020-06-15,737,737,737,737,224,224,374,363,731,731
2020-06-16,738,738,738,738,226,226,372,365,732,732
2020-06-17,738,738,738,738,228,228,444,441,732,732
2020-06-18,739,739,739,739,229,229,375,368,734,734
2020-06-19,736,736,736,736,227,227,376,373,731,731
2020-06-20,738,738,738,738,227,227,457,456,734,734
2020-06-21,736,736,736,736,224,224,375,373,732,732
2020-06-22,735,735,735,735,228,228,372,365,731,731
2020-06-23,736,736,736,736,226,226,445,440,732,732
2020-06-24,735,735,735,735,226,226,374,365,731,731
2020-06-25,735,735,735,735,227,227,373,365,733,733
2020-06-26,735,735,735,735,227,227,449,447,733,733
2020-06-27,735,735,735,735,228,228,368,367,733,733
2020-06-28,733,733,733,733,228,228,365,364,731,731
2020-06-29,732,732,732,732,228,228,440,432,730,730
2020-06-30,734,734,734,734,228,228,376,374,732,732
2020-07-01,500,500,500,500,124,124,221,219,498,498
2020-07-02,501,501,501,501,123,123,282,280,498,498
2020-07-03,501,501,501,501,123,123,224,223,498,498
2020-07-04,500,500,500,500,122,122,224,223,497,497
2020-07-05,498,498,498,498,121,121,270,270,495,495
2020-07-06,502,502,502,502,123,123,225,221,499,499
2020-07-07,501,501,501,501,122,122,226,224,498,498
2020-07-08,497,497,497,497,122,122,278,276,495,495
2020-07-09,498,498,498,498,124,124,223,218,496,496
2020-07-10,498,498,498,498,124,124,222,221,496,496
2020-07-11,496,496,496,496,124,124,270,270,494,494
2020-07-12,495,495,495,495,124,124,220,220,493,493
2020-07-13,500,500,500,500,123,123,223,216,498,498
2020-07-14,501,501,501,501,124,124,278,276,498,498
2020-07-15,502,502,502,502,125,125,223,219,499,499
2020-07-16,506,506,506,506,125,125,224,221,503,503
2020-07-17,503,503,503,503,126,126,274,271,500,500
2020-07-18,502,502,502,502,126,126,219,219,499,499
2020-07-19,500,500,500,500,125,125,219,218,497,497
2020-07-20,505,505,505,505,127,127,279,277,502,502
2020-07-21,505,505,505,505,128,128,226,220,502,502
2020-07-22,504,504,504,504,127,127,222,217,501,501
2020-07-23,504,504,504,504,123,123,275,271,502,502
2020-07-24,503,503,503,503,124,124,222,219,501,501
2020-07-25,503,503,503,503,125,125,219,218,501,501
2020-07-26,504,504,504,504,125,125,276,275,502,502
2020-07-27,505,505,505,505,124,124,223,219,503,503
2020-07-28,505,505,505,505,124,124,225,222,503,503
2020-07-29,507,507,507,507,127,127,274,272,505,505
2020-07-30,507,507,507,507,127,127,227,226,505,505
2020-07-31,503,503,503,503,126,126,224,219,501,501
2020-08-01,400,400,400,400,95,95,201,200,399,399
2020-08-02,398,398,398,398,95,95,165,164,397,397
2020-08-03,392,392,392,392,95,95,161,161,391,391
2020-08-04,397,397,397,397,96,96,198,188,396,396
2020-08-05,397,397,397,397,95,95,167,162,396,396
2020-08-06,399,399,399,399,95,95,168,165,398,398
2020-08-07,402,402,402,402,95,95,205,200,401,401
2020-08-08,399,399,399,399,95,95,166,164,398,398
2020-08-09,400,400,400,400,95,95,166,163,399,399
2020-08-10,400,400,400,400,94,94,198,191,399,399
2020-08-11,402,402,402,402,95,95,166,161,402,402
2020-08-12,402,402,402,402,95,95,164,160,402,402
2020-08-13,401,401,401,401,96,96,200,199,401,401
2020-08-14,404,404,404,404,96,96,166,164,404,404
2020-08-15,404,404,404,404,96,96,166,166,404,404
2020-08-16,403,403,403,403,96,96,200,200,403,403
2020-08-17,404,404,404,404,96,96,168,167,404,404
2020-08-18,403,403,403,403,96,96,167,167,403,403
2020-08-19,403,403,403,403,95,95,200,200,403,403
2020-08-20,402,402,402,402,94,94,166,166,402,402
2020-08-21,402,402,402,402,95,95,166,166,402,402
2020-08-22,402,402,402,402,95,95,201,201,402,402
2020-08-23,398,398,398,398,95,95,162,162,398,398
2020-08-24,399,399,399,399,95,95,164,162,399,399
2020-08-25,398,398,398,398,94,94,199,197,398,398
2020-08-26,397,397,397,397,95,95,166,163,397,397
2020-08-27,398,398,398,398,94,94,165,162,398,398
2020-08-28,398,398,398,398,93,93,200,199,398,398
2020-08-29,396,396,396,396,95,95,163,163,396,396
2020-08-30,395,395,395,395,94,94,162,161,395,395
2020-08-31,396,396,396,396,94,94,198,194,396,396
2020-09-01,299,299,299,299,69,69,109,109,299,299
2020-09-02,300,300,300,300,69,69,109,109,300,300
2020-09-03,300,300,300,300,70,70,139,137,300,300
2020-09-04,301,301,301,301,70,70,111,110,301,301
2020-09-05,301,301,301,301,70,70,110,110,301,301
2020-09-06,301,301,301,301,69,69,141,141,301,301
2020-09-07,302,302,302,302,68,68,111,111,302,302
2020-09-08,300,300,300,300,68,68,108,108,300,300
2020-09-09,299,299,299,299,68,68,138,136,299,299
2020-09-10,299,299,299,299,69,69,109,109,299,299
2020-09-11,298,298,298,298,69,69,109,108,298,298
2020-09-12,296,296,296,296,69,69,137,137,296,296
2020-09-13,294,294,294,294,69,69,106,105,294,294
2020-09-14,295,295,295,295,67,67,104,101,295,295
2020-09-15,297,297,297,297,67,67,133,131,297,297
2020-09-16,299,299,299,299,67,67,104,99,299,299
2020-09-17,300,300,300,300,68,68,105,100,300,300
2020-09-18,301,301,301,301,69,69,136,135,301,301
2020-09-19,300,300,300,300,68,68,104,104,300,300
2020-09-20,300,300,300,300,69,69,104,104,300,300
2020-09-21,299,299,299,299,68,68,133,132,299,299
2020-09-22,299,299,299,299,69,69,106,104,299,299
2020-09-23,299,299,299,299,68,68,106,106,299,299
2020-09-24,300,300,300,300,68,68,137,135,300,300
2020-09-25,300,300,300,300,68,68,109,107,300,300
2020-09-26,299,299,299,299,68,68,109,109,299,299
2020-09-27,299,299,299,299,68,68,135,135,299,299
2020-09-28,300,300,300,300,68,68,109,109,300,300
2020-09-29,300,300,300,300,67,67,108,107,300,300
2020-09-30,293,293,293,293,60,60,129,128,293,293
2020-10-01,43,43,43,43,15,15,21,21,43,43
2020-10-02,39,39,39,39,15,15,19,19,39,39
2020-10-03,39,39,39,39,15,15,19,19,39,39
2020-10-04,39,39,39,39,15,15,19,19,39,39
2020-10-05,39,39,39,39,15,15,19,19,39,39
2020-10-06,38,38,38,38,15,15,19,19,38,38
2020-10-07,36,36,36,36,15,15,19,19,36,36
2020-10-08,36,36,36,36,15,15,19,19,36,36
2020-10-09,36,36,36,36,15,15,19,19,36,36
2020-10-10,36,36,36,36,15,15,19,19,36,36
2020-10-11,36,36,36,36,15,15,19,19,36,36
2020-10-12,36,36,36,36,15,15,19,19,36,36
2020-10-13,35,35,35,35,14,14,18,17,35,35
2020-10-14,36,36,36,36,15,15,18,18,36,36
2020-10-15,36,36,36,36,15,15,19,17,36,36
2020-10-16,36,36,36,36,15,15,19,18,36,36
2020-10-17,36,36,36,36,15,15,19,19,36,36
2020-10-18,36,36,36,36,15,15,19,19,36,36
2020-10-19,36,36,36,36,15,15,19,19,36,36
2020-10-20,35,35,35,35,15,15,18,18,35,35
2020-10-21,35,35,35,35,15,15,18,18,35,35
2020-10-22,35,35,35,35,15,15,18,18,35,35
2020-10-23,35,35,35,35,15,15,18,18,35,35
2020-10-24,35,35,35,35,15,15,18,17,35,35
2020-10-25,35,35,35,35,15,15,17,15,35,35
2020-10-26,34,34,34,34,15,15,16,15,34,34
2020-10-27,35,35,35,35,15,15,17,16,35,35
2020-10-28,35,35,35,35,15,15,18,17,35,35
2020-10-29,35,35,35,35,15,15,18,18,35,35
2020-10-30,35,35,35,35,15,15,18,18,35,35
2020-10-31,35,35,35,35,15,15,18,18,35,35
